Date Played,Session Start Time,Session End Time,Session Duration (min),Daily Session Count,Total Daily Gaming Duration (min),Mental Fatigue Rating (1 Lowest),Focus Rating (1 Lowest),Hours Awake Before Session
11/21/2025,12:14:00 AM,7:20:00 AM,426,2,560,8,2,2
11/21/2025,9:41:00 PM,11:55:00 PM,134,2,560,2,3,0.5
11/22/2025,3:34:00 AM,6:48:00 AM,194,2,331,2,8,0.25
11/22/2025,9:42:00 PM,11:59:00 PM,137,2,331,7,4,3.5
11/23/2025,12:00:00 AM,9:42:00 AM,582,1,582,9,3,4
11/24/2025,2:52:00 AM,12:19:00 PM,567,1,567,7,4,1
11/25/2025,2:00:00 AM,12:09:00 PM,609,1,609,8,3,1.5
11/26/2025,6:37:00 AM,3:09:00 PM,512,1,512,5,6,3
11/27/2025,7:36:00 AM,2:08:00 PM,392,1,392,4,7,2
11/28/2025,4:33:00 AM,3:34:00 PM,661,1,661,4,8,2
